ExportTag,QualtricsID,Type,Selector,QuestionText,Choices,SubQuestions,HasDisplayLogic
CAC0,QID35,DB,TB,"A bike shop owner who wants to create a social media ad finds the following image on a search engine. The search result is displayed as follows: Chicago Schwinn © 2018 D. Green. All Rights Reserved. The bike shop owner uses the image in the following Facebook ad. The ad is shown to more than 100,000 people.",,,False
CATB0,QID177,DB,TB,"A bike shop owner who wants to create a social media ad finds the following image on a search engine. The search result is displayed as follows: Chicago Schwinn © 2018 by D. Green is licensed under Creative Commons Attribution-NonCommercial 4.0 The bike shop owner uses the image in the following Facebook ad. The ad is shown to more than 100,000 people.",,,False
CATA0,QID1215597202,DB,TB,"A bike shop owner who wants to create a social media ad finds the following image on a search engine. The search result is displayed as follows: Chicago Schwinn © 2018 by D. Green is licensed under CC BY-NC 4.0 The bike shop owner uses the image in the following Facebook ad. The ad is shown to more than 100,000 people.",,,False
FSTA0,QID145,DB,TB,"A college student wants to let others download their favorite music. The student picks a CD released by a major label and distributed nationally. On the back of the CD, this caption appears: Seconds © 2018 by The Kick Bugs is licensed under CC BY 4.0 The student converts the CD to MP3 files, includes the track titles, album name, artist name, and license information in the file metadata and then uploads them to a file-sharing service. The album is downloaded more than 50,000 times on the file-sh",,,False
FSC0,QID151,DB,TB,"A college student wants to let others download their favorite music. The student picks a CD released by a major label and distributed nationally. On the back of the CD, this caption appears: Seconds © 2018 by The Kick Bugs. All Rights Reserved. The student converts the CD to MP3 files, includes the track titles, album name, artist name, and license information in the file metadata and then uploads them to a file-sharing service. The album is downloaded more than 50,000 times on the file-sharing ",,,False
FSTB0,QID195,DB,TB,"A college student wants to let others download their favorite music. The student picks a CD released by a major label and distributed nationally. On the back of the CD, this caption appears: Seconds © 2018 by The Kick Bugs is licensed under Creative Commons Attribution 4.0 Attribution The student converts the CD to MP3 files, includes the track titles, album name, artist name, and license information in the file metadata and then uploads them to a file-sharing service. The album is downloaded mo",,,False
WNC0,QID133,DB,TB,"A concert promoter is looking for a picture of Willie Nelson to promote an upcoming show. The promoter searches for ""Willie Nelson"" on Google and the following image and caption appears. Willie Nelson - Wikipedia Images may be subject to copyright. Learn More The promoter downloads the image, then posts it to several blogs, uses it in social media advertisements, and prints the image as part of a flyer. The image is seen more than 150,000 times without attribution or licensing information.",,,False
WNTA0,QID139,DB,TB,"A concert promoter is looking for a picture of Willie Nelson to promote an upcoming show. The promoter searches for ""Willie Nelson"" on Google and the following image and caption appears. Willie Waving © 2018 by D. Orange is licensed under CC BY-NC-ND 4.0 The promoter downloads the image, then posts it to several blogs, uses it in social media advertisements, and prints the image as part of a flyer. The image is seen more than 150,000 times without attribution or licensing information.",,,False
WNTB0,QID189,DB,TB,"A concert promoter is looking for a picture of Willie Nelson to promote an upcoming show. The promoter searches for ""Willie Nelson"" on Google and the following image and caption appears. Willie Waving © 2018 by D. Orange is licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International The promoter downloads the image, then posts it to several blogs, uses it in social media advertisements, and prints the image as part of a flyer. The image is seen more than 150,000 tim",,,False
PUC0,QID27,DB,TB,"A new homeowner wants to decorate their living space. They find the following image through a search engine. The search result is presented as follows: Warm Balloon Grid © 2018 by F. Brown. All Rights Reserved. The homeowner downloads the image, prints only the image at poster size, and hangs it up in their living room.",,,False
